avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28190,25806,28170,1000000,14,527,FALSE
28090,25807,28163,1000000,14,528,FALSE
28502,25713,28066,1000000,14,529,FALSE
27742,25934,28314,1000000,14,530,FALSE
28106,25807,28164,1000000,14,531,FALSE
28353,25762,28126,1000000,14,532,FALSE
28249,25791,28159,1000000,14,533,FALSE
27952,25854,28219,1000000,14,534,FALSE
28635,25666,28013,1000000,14,535,FALSE
27717,25945,28332,1000000,14,536,FALSE
28574,25677,28019,1000000,14,537,FALSE
28383,25744,28105,1000000,14,538,FALSE
28723,25644,27984,1000000,14,539,FALSE
28208,25793,28153,1000000,14,540,FALSE
28506,25710,28064,1000000,14,541,FALSE
27345,26028,28408,1000000,14,542,FALSE
28224,25810,28187,1000000,14,543,FALSE
28090,25830,28199,1000000,14,544,FALSE
28247,25785,28150,1000000,14,545,FALSE
27983,25864,28237,1000000,14,546,FALSE
28123,25826,28195,1000000,14,547,FALSE
28325,25758,28116,1000000,14,548,FALSE
28087,25821,28182,1000000,14,549,FALSE
28623,25695,28059,1000000,14,550,FALSE
28209,25800,28166,1000000,14,551,FALSE
28313,25765,28123,1000000,14,552,FALSE
27793,25922,28300,1000000,14,553,FALSE
28194,25791,28150,1000000,14,554,FALSE
28777,25631,27984,1000000,14,555,FALSE
28272,25776,28142,1000000,14,556,FALSE
28127,25818,28177,1000000,14,557,FALSE
27889,25879,28247,1000000,14,558,FALSE
28556,25702,28059,1000000,14,559,FALSE
27996,25855,28224,1000000,14,560,FALSE
28233,25792,28158,1000000,14,561,FALSE
28442,25719,28060,1000000,14,562,FALSE
28362,25751,28111,1000000,14,563,FALSE
28124,25814,28175,1000000,14,564,FALSE
28290,25784,28155,1000000,14,565,FALSE
28094,25843,28217,1000000,14,566,FALSE
27952,25881,28258,1000000,14,567,FALSE
27915,25862,28228,1000000,14,568,FALSE
27991,25873,28249,1000000,14,569,FALSE
28349,25760,28118,1000000,14,570,FALSE
27992,25849,28210,1000000,14,571,FALSE
28214,25801,28168,1000000,14,572,FALSE
28549,25701,28057,1000000,14,573,FALSE
27944,25885,28262,1000000,14,574,FALSE
28248,25790,28150,1000000,14,575,FALSE
28553,25681,28030,1000000,14,576,FALSE
28294,25779,28143,1000000,14,577,FALSE
28548,25690,28036,1000000,14,578,FALSE
27496,26002,28388,1000000,14,579,FALSE
27996,25860,28231,1000000,14,580,FALSE
28465,25749,28116,1000000,14,581,FALSE
27514,26003,28387,1000000,14,582,FALSE
28072,25841,28214,1000000,14,583,FALSE
28152,25827,28198,1000000,14,584,FALSE
28536,25713,28074,1000000,14,585,FALSE
28136,25809,28164,1000000,14,586,FALSE
28565,25717,28083,1000000,14,587,FALSE
28145,25798,28159,1000000,14,588,FALSE
27945,25873,28244,1000000,14,589,FALSE
28076,25830,28194,1000000,14,590,FALSE
28122,25834,28204,1000000,14,591,FALSE
28117,25807,28166,1000000,14,592,FALSE
